chr10	6131041	6131042	rs140764661	chr10	6130540	6131049	CTCF	HCFaa
chr13	37424982	37424983	rs535884	chr13	37424890	37425357	CTCF	HCFaa
chr13	37425149	37425150	rs624770	chr13	37424890	37425357	CTCF	HCFaa
chr13	37432357	37432358	rs36028156	chr13	37432311	37432751	CTCF	HCFaa
chr13	49549910	49549911	rs114162077	chr13	49549146	49549942	CTCF	HCFaa
chr14	55999681	55999682	rs4901582	chr14	55999558	56000007	CTCF	HCFaa
chr14	55999718	55999719	rs2181742	chr14	55999558	56000007	CTCF	HCFaa
chr14	55999724	55999725	rs2181743	chr14	55999558	56000007	CTCF	HCFaa
chr17	59471081	59471082	rs917533	chr17	59470952	59471578	CTCF	HCFaa
chr18	20939077	20939078	rs140366331	chr18	20938807	20939211	CTCF	HCFaa
chr18	57663582	57663583	rs11876488	chr18	57663567	57663991	CTCF	HCFaa
chr18	57663814	57663815	rs11872821	chr18	57663567	57663991	CTCF	HCFaa
chr2	113484440	113484441	rs2138606	chr2	113484308	113484708	CTCF	HCFaa
chr2	134290523	134290524	rs1368092	chr2	134290388	134290880	CTCF	HCFaa
chr9	113188571	113188572	rs1410050	chr9	113188347	113188792	CTCF	HCFaa
chr9	113191760	113191761	rs148059692	chr9	113191726	113192167	CTCF	HCFaa
